               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,            0.029326,            0.023071,          0.00096109,                0.76,             0.73514,              0.7852,             0.56926,            0.032025,            0.011819,          0.00073334,           0.0080596,           0.0080596,           0.0080596
                 100,            0.029199,            0.023007,          0.00093857,             0.76155,             0.73376,             0.78612,             0.56997,            0.032018,            0.011818,          0.00072465,           0.0080398,           0.0080398,           0.0080398
                 101,            0.029267,            0.022962,          0.00094994,              0.7647,             0.72908,             0.78602,             0.56998,            0.032014,            0.011821,          0.00071792,             0.00802,             0.00802,             0.00802
                 102,            0.029191,            0.023033,          0.00094444,             0.76558,             0.72697,             0.78602,             0.57038,            0.032014,            0.011821,          0.00072045,           0.0080002,           0.0080002,           0.0080002
                 103,            0.029102,             0.02291,          0.00091193,             0.76969,             0.72525,              0.7858,             0.57083,            0.032002,            0.011819,          0.00072234,           0.0079804,           0.0079804,           0.0079804
                 104,             0.02917,            0.023022,          0.00096365,              0.7673,             0.72562,             0.78559,              0.5712,            0.031969,            0.011815,          0.00072839,           0.0079606,           0.0079606,           0.0079606
                 105,            0.028952,            0.022815,          0.00093546,             0.76752,             0.72389,             0.78541,             0.57139,            0.031956,            0.011816,          0.00072776,           0.0079408,           0.0079408,           0.0079408
                 106,            0.028984,            0.022971,          0.00093885,             0.76554,             0.72717,             0.78549,             0.57174,            0.031941,            0.011819,            0.000733,            0.007921,            0.007921,            0.007921
                 107,            0.028947,            0.022778,          0.00093432,             0.76201,              0.7319,             0.78616,             0.57277,            0.031912,            0.011815,          0.00073816,           0.0079012,           0.0079012,           0.0079012
                 108,            0.028922,            0.022712,          0.00093613,             0.75978,             0.73725,             0.78667,             0.57322,             0.03189,             0.01181,          0.00073965,           0.0078814,           0.0078814,           0.0078814
                 109,            0.028804,            0.022758,          0.00089595,             0.75846,             0.73894,             0.78732,             0.57334,            0.031866,             0.01181,          0.00074553,           0.0078616,           0.0078616,           0.0078616
                 110,            0.028942,            0.022866,           0.0009398,             0.75663,              0.7416,             0.78723,              0.5738,            0.031849,            0.011808,          0.00074352,           0.0078418,           0.0078418,           0.0078418
                 111,            0.028786,            0.022631,          0.00093625,             0.75818,             0.74074,             0.78706,             0.57461,            0.031826,            0.011809,          0.00073859,            0.007822,            0.007822,            0.007822
                 112,            0.028747,            0.022646,          0.00092149,             0.75747,             0.74071,             0.78667,              0.5752,            0.031818,            0.011812,          0.00073217,           0.0078022,           0.0078022,           0.0078022
                 113,            0.028768,            0.022672,          0.00093439,             0.75837,             0.74007,             0.78652,             0.57534,            0.031807,            0.011812,          0.00073111,           0.0077824,           0.0077824,           0.0077824
                 114,            0.028595,            0.022538,          0.00091153,             0.75567,             0.73984,             0.78648,             0.57538,            0.031793,            0.011815,          0.00073087,           0.0077626,           0.0077626,           0.0077626
                 115,            0.028688,            0.022501,          0.00090339,             0.75203,             0.74222,             0.78672,             0.57559,            0.031773,            0.011817,           0.0007362,           0.0077428,           0.0077428,           0.0077428
                 116,            0.028728,            0.022667,          0.00092332,             0.75516,             0.73793,              0.7865,             0.57559,            0.031766,             0.01182,          0.00073715,            0.007723,            0.007723,            0.007723
                 117,             0.02862,            0.022562,          0.00092371,             0.75358,             0.73691,             0.78595,             0.57592,            0.031753,            0.011823,          0.00073315,           0.0077032,           0.0077032,           0.0077032
                 118,            0.028562,            0.022606,           0.0009164,             0.75408,             0.73717,             0.78635,             0.57654,            0.031748,            0.011823,          0.00073533,           0.0076834,           0.0076834,           0.0076834
                 119,             0.02853,            0.022559,           0.0009205,              0.7543,             0.73736,             0.78705,             0.57698,             0.03173,            0.011824,          0.00073709,           0.0076636,           0.0076636,           0.0076636
